"plot","location","scorer","variety","biomass"
"plot1","IronHorse","Juan","A30_06",17.8
"plot2","IronHorse","Emily","PGI2015",19.39
"plot3","IronHorse","Dong","LegenDairy5",23.59
"plot4","IronHorse","Hiro","Lariat",10.28
"plot5","IronHorse","Patrick","Arrowhead2",14.51
"plot6","GeorgiaMountain","Juan","Arrowhead2",14.62
"plot7","GeorgiaMountain","Emily","Lariat",13.85
"plot8","GeorgiaMountain","Dong","PGI2015",20.83
"plot9","GeorgiaMountain","Hiro","A30_06",13.15
"plot10","GeorgiaMountain","Patrick","LegenDairy5",21.93
"plot11","Plains","Juan","Lariat",12.01
"plot12","Plains","Emily","LegenDairy5",20.94
"plot13","Plains","Dong","Arrowhead2",16.88
"plot14","Plains","Hiro","PGI2015",19.27
"plot15","Plains","Patrick","A30_06",13.26
"plot16","Campbell","Juan","LegenDairy5",20.87
"plot17","Campbell","Emily","A30_06",13.55
"plot18","Campbell","Dong","Lariat",9.96
"plot19","Campbell","Hiro","Arrowhead2",13.23
"plot20","Campbell","Patrick","PGI2015",20.77
"plot21","Griffin","Juan","PGI2015",24.89
"plot22","Griffin","Emily","Arrowhead2",17.65
"plot23","Griffin","Dong","A30_06",19.2
"plot24","Griffin","Hiro","LegenDairy5",22.44
"plot25","Griffin","Patrick","Lariat",14.48
